Soma Surface,Number of Stems,Number of Bifurcations,Number of Branches,Overall Width,Overall Height,Overall Depth,Average Diameter,Total Length,Total Surface,Total Volume,Max Euclidean Distance,Max Path Distance,Max Branch Order,Average Contraction,Total Fragmentation,Partition Asymmetry,Average Rall's Ratio,Average Bifurcation Angle Local,Average Bifurcation Angle Remote,Fractal Dimension,Category,w
250317.8481,2,1,4,31.84,347.33,0,0.25,487.82,383.142,23.953,211.56,228.3,2,0.94,1022,0.5,2,121.05,64.08,1.02,131,
687.912,6,62,130,414.67,1088.31,310.92,0.67,15621.7,33270.72,6672.683,934.9,1129.96,13,0.88,10492,0.38,1.88,72.5,51.78,1.03,142,
250317.8481,2,11,24,115.44,480.8,0,0.25,965.4,758.222,47.393,330.22,419.6,7,0.92,2077,0.52,2,30.5,61.11,1.03,131,
250317.8481,2,9,20,120.82,1395.11,0,0.25,1845.66,1449.582,90.63,953.12,1055.96,8,0.92,3810,0.62,2,73.95,85.13,1.03,131,
250317.8481,2,4,10,146.71,270.61,0,0.25,573.31,450.272,28.143,241.31,295.19,3,0.93,788,0.4,2,50.34,111.86,1.02,131,
250317.8481,1,15,31,400.72,811.07,0,0.25,2137.12,1678.492,104.93,906.32,1014.5,10,0.96,4582,0.63,2,98.96,96.58,1.02,131,
590.932,7,80,167,444.2,637.08,286.22,0.57,15491.5,27711.32,5050.213,521.88,602.95,11,0.85,11373,0.51,1.92,83.02,67.23,1.04,142,
250317.8481,2,2,6,106.17,237.75,0,0.25,544.99,428.042,26.753,248.3,315.04,3,0.9,758,0.67,2,111.41,111.46,1.03,131,
5582.592,3,5,13,410.25,829.55,6.11,1,2152.77,6763.132,1690.783,773.29,847.78,2,0.92,365,0.4,2,71.37,56.43,1.01,125,
250317.8481,1,24,49,121.88,262.89,0,0.25,902.08,708.52,44.283,212.3,231.5,10,0.94,1895,0.54,2,89.15,72.53,1.03,131,
250317.8481,1,11,23,474.79,629.38,0,0.25,2641.39,2074.542,129.663,630.84,931.33,8,0.94,5574,0.61,2,124.62,101.43,1.02,131,
250317.8481,2,8,18,102.82,127.49,0,0.25,567.23,445.52,27.843,108.85,155.84,5,0.93,379,0.46,2,64.87,70.28,1.02,131,
250317.8481,1,17,35,369.07,957.99,0,0.25,1844.8,1448.92,90.563,741.18,885.63,10,0.95,3849,0.6,2,88.05,95.06,1.02,131,
250317.8481,2,3,8,233.74,514.85,0,0.25,1225.62,962.62,60.163,387.03,431.07,3,0.9,2637,0.33,2,85.97,83.73,1.03,131,
250317.8481,1,3,7,225.62,453.25,0,0.25,873.98,686.422,42.93,294.63,321.02,3,0.96,1791,0.67,2,103.54,99.07,1.02,131,
250317.8481,2,5,12,49.21,339.58,0,0.25,623.56,489.742,30.613,362.94,400.06,6,0.94,862,0.83,2,57.74,62.57,1.02,131,
250317.8481,2,9,20,37.22,250.77,0,0.25,419.17,329.222,20.583,251.16,277.08,10,0.95,302,0.9,2,63.13,91.41,1.02,131,
250317.8481,2,14,30,59.53,423.5,0,0.25,817.41,641.992,40.123,263.65,285.54,9,0.95,1780,0.55,2,100.75,89.71,1.03,131,
474.072,8,89,186,720.6,873.78,157.52,0.47,18149.3,27436.52,4493.973,626.14,962.34,13,0.9,15186,0.41,1.97,75.61,65.65,1.03,146,
250317.8481,2,23,48,124.83,403.21,0,0.25,1451.17,1139.742,71.233,314.49,376.87,10,0.89,1921,0.59,2,73.21,73.05,1.05,131,
132.662,1,4,9,253.12,454.48,0,1,1183.39,3717.742,929.433,521.2,543.14,3,0.94,200,0.25,2,67.58,52.26,1.01,125,
7427.982,2,24,50,731.73,1001.92,1.99,1,6618.95,20794.12,5198.513,587.9,705.53,11,0.96,1241,0.54,2,61.48,64.65,1.01,125,
9636.862,3,9,21,704.76,944.91,0,1,3756.12,11800.22,2950.053,704.4,824.57,5,0.95,658,0.51,2,56.5,51.74,1.01,125,
250317.8481,2,2,6,52.04,105.85,0,0.25,229.66,180.382,11.273,105.5,121.34,3,0.92,147,0.67,2,72.59,78.2,1.02,131,
250317.8481,2,152,306,463.53,306.64,0,0.25,4374.78,3435.952,214.753,442.55,777.3,33,0.95,8704,0.61,2,89.88,91.83,1.03,131,
250317.8481,2,2,6,99.95,335.64,0,0.25,490.29,385.072,24.073,201.72,247.24,3,0.92,344,0.67,2,59.23,79.76,1.02,131,
250317.8481,1,8,17,271.24,782.11,0,0.25,1891.75,1485.782,92.863,626.32,694.11,8,0.95,4170,0.88,2,82.33,87.41,1.02,131,
250317.8481,1,6,13,48.9,400.87,0,0.25,504.65,396.352,24.773,386.34,427.59,4,0.94,1027,0.32,2,67.98,82.8,1.03,131,
250317.8481,1,4,9,45.63,183.01,0,0.25,470.56,369.582,23.13,190.54,333.26,3,0.93,611,0.33,2,62.97,120.02,1.02,131,
250317.8481,2,12,26,203.3,233.99,0,0.25,993.69,780.442,48.783,228.21,269.65,10,0.94,674,0.65,2,37,65.24,1.02,131,
250317.8481,2,4,10,89.57,234.26,0,0.25,417.55,327.942,20.53,207.32,233.91,4,0.94,579,0.5,2,62.42,93.45,1.02,131,
250317.8481,1,19,39,173.93,425.51,0,0.25,963.96,757.092,47.323,303.81,329.39,11,0.95,1993,0.59,2,73.53,88.34,1.02,131,
250317.8481,1,6,13,73.47,127.65,0,0.25,280.36,220.22,13.763,94.79,207.62,4,0.96,642,0.53,2,104.66,88.98,1.02,131,
250317.8481,2,18,38,66.06,224.89,0,0.25,521.36,409.482,25.593,137.19,150.08,11,0.94,702,0.7,2,76.31,99.51,1.03,131,
250317.8481,1,6,13,54.05,139.05,0,0.25,305.55,239.982,153,94.17,102.72,6,0.95,627,0.83,2,96.8,69.59,1.02,131,
226.212,1,1,3,11.35,59.16,3.05,0.24,77.76,58.632,3.523,58.53,68.48,1,0.95,24,0,2,118.71,135.9,1.02,144,
759.112,7,114,235,1454.78,1402.38,157.09,0.39,31270.6,37955.72,5809.373,1363.74,1672.76,12,0.87,26160,0.42,2.01,75.37,59.32,1.04,146,
349.22,3,6,15,20.37,169.18,19.39,1.77,263.32,1486.162,679.923,124.78,128.81,4,0.98,68,0.5,1.66,75.24,62.47,1.01,144,
200.972,5,20,45,263.87,307.93,263.6,0.62,5242.09,10327.32,1814.573,345.77,461.13,5,0.8,2813,0.53,2.01,83.15,77.33,1.06,142,
250317.8481,1,8,17,340.86,664.11,0,0.25,1584.39,1244.382,77.773,576.68,798.48,7,0.94,3227,0.67,2,89.65,89.97,1.02,131,
1711.42,3,7,17,300.19,787.16,0.56,1,1778.97,5588.792,1397.23,546.81,596.34,3,0.94,327,0.48,2,80.13,73.66,1.01,125,
250317.8481,1,13,27,292.12,712.07,0,0.25,2270.41,1783.182,111.453,462.38,739.96,10,0.93,4952,0.71,2,123.33,114.47,1.02,131,
250317.8481,2,13,28,81.25,182.18,0,0.25,565.31,4442,27.753,145.86,169.58,7,0.94,383,0.47,2,85.41,98.45,1.02,131,
250317.8481,1,6,13,144.73,421.86,0,0.25,1230.8,966.672,60.423,408.2,691.85,5,0.89,1699,0.58,2,60.34,117.57,1.03,131,
250317.8481,2,2,6,87.38,324.1,0,0.25,475.55,373.492,23.343,203.26,219.43,3,0.94,677,0.67,2,81.73,63.72,1.01,131,
